TimeStamp;baseValue
638751424250739346;38591.73
638751424251238056;38591.73
638751424251732156;37168.27
638751424252245241;43301.33
638751424252744012;43301.33
638751424253247902;43301.33
638751424257745361;34460.67
638751424258255908;34460.67
638751424258755068;34460.67
638751424259749973;40373.87
638751424260253488;40373.87
638751424260747839;41689.07
638751424262749320;36920.27
638751424362480018;36480.54
638751424362978220;37704.27
638751424363481438;37704.27
638751424363974941;42043.46
638751424364481148;42043.46
638751424364983327;42043.46
638751424365481239;42927.46
638751424365984551;42927.46
638751424366482475;42927.46
638751424366990066;38484.27
638751424367482505;38484.27
638751424368002969;38484.27
638751424368500221;41559.73
638751424369000182;38569.2
638751424369502903;38569.2
638751424370001831;38569.2
638751424370501367;40310.0
638751424371000120;35398.13
638751424371504384;35398.13
638751424372004838;37793.07
638751424372497871;42517.33
638751424373006892;42517.33
638751424373507453;42517.33
638751424374503743;42873.07
638751424375017514;42873.07
638751424375508332;42873.07
638751424377522975;35242.93
638751424378025985;35242.93
638751424378525657;35242.93
638751424379024573;34404.13
638751424379523679;34404.13
638751424380024022;34404.13
638751424380526452;37525.87
638751424381023823;37525.87
638751424381526721;37525.87
638751424382024548;37634.93
638751424382527725;37701.87
638751424383022442;37701.87
638751424383527402;43166.67
638751424384026338;38837.93
638751424384524727;38837.93
638751424385023793;38837.93
638751424385527944;43225.87
638751424386026115;35175.07
638751424386527826;35175.07
638751424387025768;35175.07
638751424387523634;44195.87
638751424388023222;44195.87
638751424388531714;44195.87
638751424389030796;35570.93
638751424389527979;36207.73
638751424390031574;36207.73
638751424390528951;36207.73
638751424391027093;39237.8
638751424391534710;42967.07
638751424392028281;42967.07
638751424392537386;42967.07
638751424394533053;36875.6
638751425736966552;37996.27
638751425737471173;37996.27
638751425737970977;37996.27
638751425738468839;43250.27
638751425738982383;43250.27
638751425739480845;43250.27
638751425739974226;36834.4
638751425740483932;39205.33
638751425740982576;36462.93
638751425741479889;36462.93
638751425741982110;39982.0
638751425742478897;39738.67
638751425742977968;39738.67
638751425743476664;39738.67
638751425743984326;41498.93
638751425744478531;41331.73
638751425744992751;41331.73
638751425745487010;41331.73
638751425745991899;36877.6
638751425746487232;36877.6
638751425746986345;36877.6
638751425747484451;39678.87
638751425747987416;38116.73
638751425748499498;38116.73
638751425748998119;34956.13
638751425749490622;38630.8
638751425749998829;38630.8
638751425750492224;38630.8
638751425750991779;43371.33
638751425751499701;43371.33
638751425752000703;43371.33
638751425752497161;43371.33
638751425752999354;37763.93
638751425753497769;38723.0
638751425754000326;38723.0
638751425754498696;38723.0
638751425754991258;35475.46
638751425755509748;37505.46
638751425756010436;39035.6
638751425756509080;39035.6
638751425757006144;40384.54
638751425757505594;35414.54
638751425758004390;35414.54
638751425758508023;35414.54
638751425759007954;38695.07
638751425759511912;38695.07
638751425760015219;38695.07
638751425760512601;40733.46
638751425761010466;37072.93
638751425761525461;37072.93
638751425762028746;35982.13
638751425762527094;41171.46
638751425763024603;38641.73
638751425763524008;38641.73
638751425764021587;41121.46
638751425764580351;38825.6
638751425765047962;38825.6
